provider,incident_id,downtime_start,downtime_end,duration_minutes,source,title,impact,components
modal,modal_1,2024-05-20T07:40:00Z,2024-05-20T07:42:07Z,2,feed,"CPU functions on AWS, CPU functions on GCP, and 4 other services are down",major,CPU functions
modal,modal_2,2024-05-30T18:00:00Z,2024-05-30T18:00:00Z,0,feed,modal.com network ingress rollover,minor,
modal,modal_3,2024-06-05T22:36:40Z,2024-06-05T22:44:34Z,7,feed,GPU functions on GCP and Web endpoints are down,major,"GPU functions,Web endpoints"
modal,modal_4,2024-06-14T14:16:04Z,2024-06-14T14:47:03Z,30,feed,"CPU functions on AWS, CPU functions on GCP, and 4 other services are down",major,CPU functions
modal,modal_5,2024-07-12T16:50:11Z,2024-07-12T23:35:09Z,404,feed,"CPU functions on GCP, Web endpoints, and 1 other service are down",major,"CPU functions,Web endpoints"
modal,modal_6,2024-07-16T17:53:00Z,2024-07-16T18:43:00Z,50,feed,Modal function executions are degraded,minor,
modal,modal_7,2024-07-25T06:50:00Z,2024-07-25T06:50:00Z,0,feed,Ephemeral apps and image builds are degraded.,minor,Image builds
modal,modal_8,2024-09-13T17:59:00Z,2024-09-13T17:59:00Z,0,feed,Container filesystem 'file not found' bug,minor,
modal,modal_9,2024-09-24T17:51:00Z,2024-09-24T17:51:00Z,0,feed,CPU container performance degradation from over-scheduling on GCE n1-standard instance class,minor,CPU functions
modal,modal_10,2024-09-30T21:14:48Z,2024-09-30T21:17:34Z,2,feed,Image builds is down,major,Image builds
modal,modal_11,2024-10-31T14:30:37Z,2024-10-31T14:52:01Z,21,feed,Volumes is down,major,Volumes
modal,modal_12,2024-10-31T15:00:18Z,2024-10-31T15:00:18Z,0,feed,modal.com DNS updates,minor,
modal,modal_13,2024-12-04T16:00:00Z,2024-12-04T16:00:00Z,0,feed,Upgrading system components,minor,
modal,modal_14,2024-12-05T18:02:30Z,2024-12-05T18:04:36Z,2,feed,Snapshot restores (beta) is down,major,Snapshot restores
modal,modal_15,2025-01-09T19:00:00Z,2025-01-09T19:35:00Z,35,feed,"Performance degradation across Functions, Sandboxes, and web endpoints",minor,"Web endpoints,Sandboxes"
modal,modal_16,2025-01-15T01:08:27Z,2025-01-15T01:27:22Z,18,feed,Web endpoints is down,major,Web endpoints
modal,modal_17,2025-01-24T18:16:00Z,2025-01-24T18:50:00Z,34,feed,Dashboard is unavailable,major,
modal,modal_18,2025-02-06T18:00:39Z,2025-02-06T18:00:39Z,0,feed,Network infrastructure change,minor,
